time,TIMESTAMP,Hs,Fc_wpl,LE_wpl,Hc,tau,u_star,Ts_mean,stdev_Ts,cov_Ts_Ux,cov_Ts_Uy,cov_Ts_Uz,co2_mean,stdev_co2,cov_co2_Ux,cov_co2_Uy,cov_co2_Uz,h2o_Avg,stdev_h2o,cov_h2o_Ux,cov_h2o_Uy,cov_h2o_Uz,Ux_Avg,stdev_Ux,cov_Ux_Uy,cov_Ux_Uz,Uy_Avg,stdev_Uy,cov_Uy_Uz,Uz_Avg,stdev_Uz,press_mean,rho_a_mean,wnd_dir_compass,wnd_dir_csat3,wnd_spd,rslt_wnd_spd,std_wnd_dir,Fc_irga,LE_irga,co2_wpl_LE,co2_wpl_H,h2o_wpl_LE,h2o_wpl_H,n_Tot,csat_warnings,irga_warnings,del_T_f_Tot,sig_lck_f_Tot,amp_h_f_Tot,amp_l_f_Tot,chopper_f_Tot,detector_f_Tot,pll_f_Tot,sync_f_Tot,agc_Avg,,panel_temp_Avg,batt_volt_Avg,RH,Es,Ws,q,theta,theta_std,th,utemp,v_rot,phi,u_rot,w_rot,tke,diss_FSR
0,8/19/16 0:00,-56.00822,0.2051756,25.20779,-57.48951,0.1894419,0.4370449,7.680608,0.2761104,0.1826682,-0.00899337,-0.05620882,571.8674,1.6174,-1.17765,-0.09316531,0.3131286,5.771462,0.1102339,-0.05577881,0.0253713,0.01138972,0.4112071,1.262964,-0.01373905,-0.1770883,2.617388,0.9820834,-0.07158124,-0.2307549,0.4881983,80.13786,0.9917995,278.9286,81.07144,2.978434,2.64949,26.91856,0.3131286,27.79091,0.01064252,-0.1185956,0.2620746,-2.845195,18000,0,0,0,0,0,0,0,0,0,0,44,8.273358,13.7201,,75.4,10.484032,0.00813731223920543,6.13553342836089,299.189843319768,0.29416105282569,1.41496419114813,2.64949263475753,-6.50970257698447E-15,-0.5113745,2.42347613491756,-2.65320166937767,1.39895172498722,0.08809854864772
0.5,8/19/16 0:30,-15.77236,0.08798742,-2.950565,-15.59891,0.04462575,0.2121443,7.758657,0.1886877,0.01296528,0.01753032,-0.01583254,572.3035,1.200748,-0.2045318,-0.1854669,0.1210061,5.607752,0.09578353,0.004861131,-0.002857387,-0.0008822046,-0.4626029,0.7239082,0.0005031824,-0.02939213,1.251721,0.9685842,-0.03408182,-0.1012866,0.3531559,80.13349,0.9915688,249.717,110.283,1.64473,1.334469,35.18048,0.1210061,-2.152579,-0.0008250143,-0.0321937,-0.01972485,-0.7782613,18000,0,0,0,0,0,0,0,0,0,0,44,8.149359,13.72916,,71.81,10.539923,0.00818113891275988,5.87487585325287,299.277662342593,0.20102624950003,-1.21679161039182,-1.33446877255686,-3.03121594491529E-16,0.2155479,-1.32525174791892,-1.28683270576241,0.7934588,0.02634438293043
1,8/19/16 1:00,-11.97121,0.04111525,9.068698,-12.50454,0.07959239,0.283367,7.859282,0.1451114,-0.01020709,-0.03769518,-0.01202103,572.2775,0.8043655,-0.0176847,0.189464,0.06325127,5.521427,0.0588755,0.00357262,0.0135057,0.003919634,1.2354,1.106009,0.1537042,-0.05093089,1.47512,0.82912,-0.06207762,-0.2422692,0.3777473,80.13038,0.9912266,309.9458,50.05416,2.129882,1.92411,25.17678,0.06325127,9.563907,0.003666322,-0.02580234,0.08631078,-0.5815189,18000,0,0,0,0,0,0,0,0,0,0,44,8.018615,13.74017,,71.8,10.612369,0.00823769148530927,5.91466248645206,299.388190524162,0.154602151079223,0.873609247556798,1.92410815039072,8.14264211612681E-16,-0.193648421870559,1.93476637921076,-1.63067225916964,1.02669445256915,0.05614981413186
1.5,8/19/16 1:30,-12.69108,0.05412622,1.093078,-12.75529,0.1683873,0.4120055,7.576534,0.2324912,0.03436484,-0.06865787,-0.0127342,572.841,0.9475588,-0.262767,0.1808595,0.07982855,5.636709,0.07772312,-0.005217353,0.02837874,0.0006995858,2.594157,1.015989,-0.01154116,-0.0432916,0.734412,0.8966908,-0.1641353,-0.05584894,0.4519881,80.1161,0.9919806,344.1931,15.80686,2.864547,2.696116,19.6412,0.07982855,1.706989,0.0006545943,-0.02635692,0.01571642,-0.6296282,18000,0,0,0,0,0,0,0,0,0,0,44,8.030368,13.73498,,74.62,10.409912,0.00808197725263097,6.03077142591323,299.102195489137,0.247709496359557,0.275883,2.696110,-7.948259E-16,-0.021525418077421,2.69668793430171,-0.788149011762458,1.02029064073363,0.10908188722513
2,8/19/16 2:00,-4.929156,-0.01682774,0.4989555,-4.958424,0.08214802,0.2875833,7.170415,0.2575342,0.1614173,-0.08738557,-0.004939459,575.3148,1.889274,-0.9195045,0.5788191,-0.006819643,5.749479,0.07364359,-0.05354295,0.02435512,0.0003038999,0.6900207,1.123247,-0.5850513,0.02048582,1.613994,0.8840796,-0.08012684,-0.1351185,0.307005,80.10981,0.9932755,293.1478,66.85221,2.177695,1.755309,35.67316,-0.006819643,0.7415157,0.0002852417,-0.01029333,0.006955459,-0.2495156,18000,0,0,0,0,0,0,0,0,0,0,44,7.979115,13.74506,,77.11,10.125084,0.0078614620344397,6.06197337475645,298.676199660516,0.274397910471883,1.16679001919834,1.75530772187229,-8.35079682071083E-15,-0.1933712,1.74855774581608,-1.66710979319751,1.06876631608508,0.04586181285680
2.5,8/19/16 2:30,-2.11783,0.00395409,0.01186254,-2.118526,0.009191501,0.09622592,7.312525,0.1246701,0.0124613,-0.02452715,-0.002123564,573.7136,0.6625788,-0.05566479,0.1327952,0.00829498,5.71255,0.03368771,-0.004146099,0.01028262,4.81E-05,-0.4598078,0.2402514,-0.04548851,-0.006293083,1.804768,0.5603825,-0.00679221,-0.1458398,0.1538337,80.09943,0.992664,255.7066,104.2934,1.877542,1.862413,7.271108,0.00829498,0.1172913,4.5E-05,-0.004385909,0.001093769,-0.1065226,18000,0,0,0,0,0,0,0,0,0,0,44,7.684896,13.74903,,75.07,10.223959,0.00793926036594765,5.9600027567169,298.838689995099,0.132838600684915,-1.32132964334376,-1.86242066858292,7.43380723644549E-15,0.3071388,-1.81935617947377,-1.84077397798427,0.1977070,0.04965085361684
3,8/19/16 3:00,-0.5002695,0.005181095,-2.634769,-0.3455728,0.01865203,0.1371096,7.421172,0.09140819,0.005834837,-0.009915421,-0.0005018692,573.2132,0.4006305,-0.009077495,0.01071627,0.006888045,5.648382,0.02985965,-0.001573282,0.006461921,-0.00105985,0.1276623,0.2273407,-0.0190617,-4.31E-05,0.9465127,0.3339229,-0.018799,-0.1470037,0.1390922,80.08829,0.992179,277.6815,82.31849,1.00436,0.9550825,17.94172,0.006888045,-2.586034,-0.0009921459,-0.0007148039,-0.02385466,-0.02487993,18000,0,0,0,0,0,0,0,0,0,0,44,7.281253,13.76524,,74.12,10.300125,0.00799951886281093,5.92924338111546,298.966347942262,0.0974012138934659,1.4367289,0.9550832,4.5086955E-15,-0.8557000,0.7372309,-0.9661621,0.0912675,0.0081526
3.5,8/19/16 3:30,-2.355644,-0.002824243,1.148251,-2.423058,0.0156975,0.1257899,7.393874,0.1022532,5.59E-05,-0.009713665,-0.002363455,573.4244,0.3551355,0.02525556,0.05866032,0.001709376,5.594081,0.01684485,0.001682472,-0.0009518595,0.0005134617,0.04479756,0.2731608,0.01515699,0.00275822,0.6523989,0.4224819,-0.01558084,-0.09919382,0.1708057,80.06846,0.9920624,273.9281,86.07188,0.7291997,0.6539358,26.02287,0.001709376,1.252847,0.0004808687,-0.005014488,0.0114464,-0.1160419,18000,0,0,0,0,0,0,0,0,0,0,44,7.391391,13.75356,,74.32,10.280941,0.00798659714463689,5.93563899789414,298.958432538189,0.108964975631633,1.50223803893315,0.653935123772354,-2.68950705789583E-15,-1.14659898,0.359554976970807,-0.659194132342691,0.1411412,0.001939196721967
4,8/19/16 4:00,-4.553514,-0.003108463,-1.780505,-4.448971,0.02315145,0.152796,7.424838,0.112041,0.03604337,0.01162118,-0.004570554,573.4581,0.2243993,-0.009760689,-0.03286519,0.006694225,5.630415,0.02555248,0.004441934,-0.00360007,-0.0006313436,0.1104412,0.6065239,0.06619728,-0.01999174,0.5057255,0.4122668,-0.01205798,-0.09043276,0.1643526,80.04516,0.9916407,282.319,77.68102,0.7776489,0.5176441,46.83644,0.006694225,-1.540478,-0.0005915773,-0.009211111,-0.01417229,-0.2258539,18000,0,0,0,0,0,0,0,0,0,0,44,7.508873,13.74948,,75.11,10.302704,0.00800583301623711,6.01318117849569,299.016317578751,0.11940517359522,1.3557901,0.5176442,1.7843417E-15,-0.68611869672166,0.457799597610741,-0.525019644742122,0.2824235,0.003143707073588
4.5,8/19/16 4:30,-2.130494,-0.0006658169,-0.3875976,-2.107739,0.0001028402,0.01018414,7.392256,0.09145597,-0.002224686,-0.009824045,-0.002138664,573.4001,0.2580326,0.003178783,0.03113779,0.003805764,5.658684,0.007757405,0.0004554964,0.0006469111,-0.000114258,-0.3520325,0.1554494,0.02281166,-0.0001036692,0.6371294,0.4345287,-3.14E-06,-0.1054787,0.119412,80.02989,0.9915493,241.0781,118.9219,0.7815933,0.7279148,21.22729,0.003805764,-0.2787896,-0.0001070635,-0.004364518,-0.002578035,-0.10623,18000,0,0,0,0,0,0,0,0,0,0,44,7.22046,13.77155,,75.35,10.279805,0.00798956326825853,6.0201359226328,298.997908318601,0.0974724596684241,-1.0660135,-0.7279153,1.2953549E-15,0.2911152,-0.7275624,-0.6881407,0.113619466414025,0.0079402
